,Unnamed: 0,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,No_of_bedrooms,latitude,longitude,pet,laundry,parking,floor,Apartment_type,smoking
2191,2191,3 bedroom House w 1.5 bathroom,1300,,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-house-15-bathroom/7263904016.html,3.0, (27th Lehigh ave),2021-02-16 19:52, 1.5Ba,3BR ,39.996639,-75.175539,no pet,no laundry,no,nan,single,nan
2192,2192,Let Your Dog Run Free! On-Site Dog Parks & Pet Friendly Living,2265,725.0,https://philadelphia.craigslist.org/apa/d/philadelphia-let-your-dog-run-free-on/7278491499.html,1.0, (W. Mt. Airy),2021-02-16 19:50, 1Ba,1BR ,40.029227,-75.188362,both pets,in unit,off-street,nan,multi,nan
2193,2193,"Cable Ready, Upgraded Unit, Beautifully Landscaped",1100,800.0,https://philadelphia.craigslist.org/apa/d/cheltenham-cable-ready-upgraded-unit/7278495631.html,1.0," (6000 Tabor Avenue, Philadelphia, PA)",2021-02-16 19:50, 1Ba,1BR ,40.042487,-75.096603,both pets,on site,no,nan,multi,nan
2194,2194,AT LAST!!! Everything You’ve Been Looking For is HERE,1210,400.0,https://philadelphia.craigslist.org/apa/d/philadelphia-at-last-everything-youve/7278459363.html,, (Philadelphia),2021-02-16 19:46, 1Ba,0BR ,40.030637,-75.183731,both pets,in unit,no,nan,multi,nan
2195,2195,"Fantastic open and spacious 2 bedroom, 2 bath at Thomas Lofts",2200,887.0,https://philadelphia.craigslist.org/apa/d/philadelphia-fantastic-open-and/7274291020.html,2.0, (CENTER CITY),2021-02-16 19:43, 2Ba,2BR ,39.950987,-75.15242,both pets,in unit,off-street,wood,multi,nan
2196,2196,Loft Apartment With Exposed Brick.  Reduced Pricing For Pandemic,1695,1100.0,https://philadelphia.craigslist.org/apa/d/philadelphia-loft-apartment-with/7266390420.html,1.0, (Philadelphia),2021-02-16 19:43, 1Ba,1BR ,39.9483,-75.1433,both pets,in unit,no,wood,multi,no smoking
2197,2197,Gorgeous and Spacious apartment at Chancery Lane,2040,1000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-gorgeous-and-spacious/7274290642.html,2.0, (OLD CITY),2021-02-16 19:38, 2Ba,2BR ,39.951852,-75.142651,both pets,in unit,no,wood,multi,nan
2198,2198,Beautiful 1 Bedroom with Reduced Rent in Heart of Old City,1496,630.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-bedroom-with/7278457121.html,1.0, (old city),2021-02-16 19:38, 1Ba,1BR ,39.954921,-75.144644,both pets,in unit,off-street,nan,multi,nan
2199,2199,1Br.Apt.Sunny Private Deck Great location across from Park  (A non-sm,1300,,https://philadelphia.craigslist.org/apa/d/philadelphia-1braptsunny-private-deck/7271759555.html,1.0, (1112 Pine st. Center city Philadelphia),2021-02-16 19:37, 1Ba,1BR ,39.94497,-75.160316,no pet,on site,no,nan,multi,no smoking
2200,2200,Northeast 2 bedroom,1100,1200.0,https://philadelphia.craigslist.org/apa/d/philadelphia-northeast-bedroom/7271713848.html,2.0, (Philadelphia),2021-02-16 19:37, 1Ba,2BR ,40.054166,-74.999617,no pet,no laundry,no,wood,multi,nan
2201,2201,"Resort-Style Swimming Pool, Car Wash Area, Garages, Free Parking",1910,1124.0,https://philadelphia.craigslist.org/apa/d/west-chester-resort-style-swimming-pool/7275696805.html,2.0," (1000 Skiles Boulevard, West Chester, PA, US)",2021-02-16 19:34, 2Ba,2BR ,39.929855,-75.582336,both pets,in unit,off-street,nan,multi,no smoking
2202,2202,Enjoy city living in one of the most sought after neighborhoods,2000,889.0,https://philadelphia.craigslist.org/apa/d/philadelphia-enjoy-city-living-in-one/7274288997.html,2.0, (RITTENHOUSE SQUARE),2021-02-16 19:30, 1Ba,2BR ,39.952291,-75.175407,both pets,on site,no,wood,multi,nan
2203,2203,High Ceilings . Exposed Brick . Plank Wood Flooring . Quartz Counter,1195,468.0,https://philadelphia.craigslist.org/apa/d/philadelphia-high-ceilings-exposed/7278456929.html,, (old city),2021-02-16 19:28, 1Ba,0BR ,39.955313,-75.144794,both pets,in unit,off-street,nan,multi,nan
2204,2204,"Cable Ready, 24/7 Emergency Maintenance, Kitchen Appliances",940,790.0,https://philadelphia.craigslist.org/apa/d/philadelphia-cable-ready-24-emergency/7276591456.html,1.0," (6242 Roosevelt Boulevard, Philadelphia, PA)",2021-02-16 19:26, 1Ba,1BR ,40.03458,-75.073844,both pets,no laundry,proctected,nan,multi,nan
2205,2205,Now Doing Virtual and Self Directed Tours,1625,980.0,https://philadelphia.craigslist.org/apa/d/philadelphia-now-doing-virtual-and-self/7278458570.html,2.0," (Overbrook, West Philadelphia, Upper Darby)",2021-02-16 19:25, 1.5Ba,2BR ,39.962329,-75.209058,both pets,on site,off-street,nan,multi,nan
2206,2206,"Beautiful Upgraded Unit, Smoke Detectors, Private Entrances",1000,790.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-upgraded-unit/7278488564.html,1.0," (6242 Roosevelt Boulevard, Philadelphia, PA)",2021-02-16 19:25, 1Ba,1BR ,40.03458,-75.073844,both pets,no laundry,proctected,nan,multi,nan
