,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,latitude,longitude,pet,laundry,parking,Apartment_type
1296,3BR 1 BA Downtown Fairfield,2850.0,1120.0,https://newyork.craigslist.org/fct/apa/d/southport-3br-ba-downtown-fairfield/7278221166.html,3.0," (Fairfield, CT)",2021-02-16 11:05,1.0,41.140202,-73.263885,no pet,on site,no,multi
1298,HOT STUDIO on Prospect Park!!ON B/Q Trains,1550.0,497.9347826086956,https://newyork.craigslist.org/brk/apa/d/brooklyn-hot-studio-on-prospect-parkon/7278220460.html,0.0, (Prospect Lefferts Gardens),2021-02-16 11:03,1.0,40.660897,-73.960877,cats,no laundry,no,multi
1300,qUirKy Bushwick/Bed-stuy Duplex fast easy approval 347.450.2325,2200.0,1000.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-quirky-bushwick-bed-stuy/7278217769.html,2.0, (Bushwick),2021-02-16 10:59,1.5,40.6907,-73.9274,no pet,in unit,no,multi
1301,Rent Stabilized Sun Lit Nolita Studio Oasis__Prime Location - A Steal!,1895.0,497.9347826086956,https://newyork.craigslist.org/mnh/apa/d/new-york-rent-stabilized-sun-lit-nolita/7278217641.html,0.0, (Nolita / Bowery),2021-02-16 10:59,1.0,40.720505,-73.996836,no pet,no laundry,no,multi
1304,Roommate wanted for 3BR/2BA $1205 net/mo ($1550 gross),1205.0,1103.2173913043478,https://newyork.craigslist.org/mnh/apa/d/new-york-roommate-wanted-for-3br-2ba/7278215227.html,3.0, (Financial District),2021-02-16 10:54,2.0,40.7076,-74.0057,no pet,on site,no,multi
1305,NO FEE LOFTY BRIGHT LES 2 BED OASIS // AWESOME LOCATION - NO FEE!,1995.0,922.3730569948186,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-lofty-bright-les-bed/7278215163.html,2.0, (Lower East Side),2021-02-16 10:54,1.0,40.71751,-73.985886,no pet,no laundry,no,multi
1306,"Two queen rooms opposite sides+tons of storage,a/c,2baths,laundry",1895.0,922.3730569948186,https://newyork.craigslist.org/brk/apa/d/brooklyn-two-queen-rooms-opposite/7278215094.html,2.0, (Bed Stuy @ Chauncey J/Z + Rockaway A/C),2021-02-16 10:54,2.0,40.681316,-73.914974,both pets,on site,no,multi
1307,Over-Sized Lofty Sun Lit LES Corner 2 Bed___Prime Location - A Steal!,2695.0,922.3730569948186,https://newyork.craigslist.org/mnh/apa/d/new-york-over-sized-lofty-sun-lit-les/7278214776.html,2.0, (Lower East Side),2021-02-16 10:53,1.0,40.715795,-73.990558,both pets,on site,no,multi
1308,Gutted Bright East Vill True 3 Bed Stunner_This Is A Steal!!!,2595.0,650.0,https://newyork.craigslist.org/mnh/apa/d/new-york-gutted-bright-east-vill-true/7278214484.html,3.0, (East Village),2021-02-16 10:52,1.0,40.722671,-73.982964,both pets,no laundry,no,multi
1309,Over-sized Chinatown True 3 Bed/ 2 Bath Loft_Great Value - Solid Deal!,3295.0,1103.2173913043478,https://newyork.craigslist.org/mnh/apa/d/new-york-over-sized-chinatown-true-bed/7278213938.html,3.0, (Chinatown / Lit Italy),2021-02-16 10:52,2.0,40.714502,-73.998796,both pets,no laundry,no,multi
