,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,latitude,longitude,pet,laundry,parking,Apartment_type
126,THIS 1 BEDROOM 1 BATH IS APPROXIMATELY 675 SQUARE FEET,1430.0,675.0,https://philadelphia.craigslist.org/apa/d/philadelphia-this-bedroom-bath-is/7274447365.html,1.0, (1827-31 PINE ST #306R),2021-02-18 14:32,1.0,39.9513,-75.1741,both pets,on site,no,multi
127,STEPS FROM THE THEATER DISTRICT AND RITTENHOUSE SQUARE,2210.0,1264.0,https://philadelphia.craigslist.org/apa/d/philadelphia-steps-from-the-theater/7274451675.html,2.0, (1500 LOCUST ST #2B/2BA),2021-02-18 14:32,2.0,39.9489,-75.1661,both pets,in unit,no,multi
128,THIS ONE-BEDROOM CONDO IN THE CENTER CITY WEST/RITTENHOUSE SQUARE AREA,1900.0,530.0,https://philadelphia.craigslist.org/apa/d/philadelphia-this-one-bedroom-condo-in/7274456179.html,1.0, (37 S 20TH ST #6C),2021-02-18 14:32,1.0,39.9513,-75.1741,both pets,on site,no,multi
129,URBAN CHARM AND SPACIOUS FLOORPLANS WITH HARDWOOD FLOORING THROUGHOUT,1495.0,600.0,https://philadelphia.craigslist.org/apa/d/philadelphia-urban-charm-and-spacious/7274447572.html,1.0, (721 SPRUCE ST #1B),2021-02-18 14:32,1.0,39.9474,-75.1473,both pets,on site,no,multi
130,BILEVEL 3 BED 2 BATH ON 2 ND AND 3 RD FLOOR.WOOD FLOOR,2200.0,3669.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bilevel-bed-bath-on-nd-and/7274451658.html,3.0, (618 S 2ND ST #2R),2021-02-18 14:32,2.0,39.9362,-75.1563,no pet,on site,no,single
131,PINE STREET MANOR IS AN INTIMATE COMMUNITY SITUATED IN SOUGHT AFTER,1975.0,850.0,https://philadelphia.craigslist.org/apa/d/philadelphia-pine-street-manor-is-an/7274451625.html,1.0, (1827-31 PINE ST #203F),2021-02-18 14:32,1.0,39.9513,-75.1741,both pets,in unit,no,multi
132,THIS STUNNING 2 BED 2 BATH BI-LEVEL APARTMENT WITH PARKING BOASTS ORIG,3000.0,1563.0,https://philadelphia.craigslist.org/apa/d/philadelphia-this-stunning-bed-bath-bi/7274441771.html,2.0, (1524 PINE ST #3),2021-02-18 14:32,2.0,39.9489,-75.1661,both pets,on site,no,single
133,BEAUTIFULLY RENOVATED UNIT IN THE DESIRED COLONNADE BUILDING!,1275.0,556.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautifully-renovated-unit/7276958909.html,1.0, (1601 SPRING GARDEN ST #511),2021-02-18 14:32,1.0,39.9677,-75.1735,both pets,in unit,no,multi
134,!! START THE NEW YEAR IN THIS PHILADELPHIA CHAPTER LANDMARK PROPERTY O,1540.0,800.0,https://philadelphia.craigslist.org/apa/d/philadelphia-start-the-new-year-in-this/7271908102.html,1.0, (ART MUSEUM (FAIRMO),2021-02-18 14:32,1.0,39.9677,-75.1735,both pets,on site,no,multi
135,"BEAUTIFUL SOUTH FACING 2 BEDROOM, 2 FULL BATH CONDO IN THE TIVOLI TOWE",2600.0,1393.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-south-facing/7274441646.html,2.0, (1900 HAMILTON ST #502),2021-02-18 14:32,2.0,39.9677,-75.1735,no pet,in unit,proctected,multi
136,CONTEMPORARY CONDOMINIUM TOWNHOME IN THE PRIME ART,3000.0,2282.0,https://philadelphia.craigslist.org/apa/d/philadelphia-contemporary-condominium/7274441732.html,3.0, (2339 WALLACE ST #A),2021-02-18 14:32,2.5,39.9677,-75.1735,both pets,on site,proctected,single
137,"On-Site Management Team, Cable Ready, Upgraded Units Available",895.0,706.0,https://philadelphia.craigslist.org/apa/d/philadelphia-on-site-management-team/7279279992.html,1.0," (5600 Ogontz Avenue, Philadelphia, PA)",2021-02-18 14:31,1.0,40.038971,-75.149988,cats,on site,proctected,multi
138,Midtown Village 2 BR 1 BATH,1100.0,1077.385775862069,https://philadelphia.craigslist.org/apa/d/philadelphia-midtown-village-br-bath/7273657411.html,2.0, (Philadelphia),2021-02-18 14:30,1.0,39.949639,-75.160372,no pet,in unit,no,multi
139,"Call for Details, Poolside Grill, Pets Welcome",1725.0,1078.0,https://philadelphia.craigslist.org/apa/d/bridgeport-call-for-details-poolside/7279302077.html,2.0, (Norristown),2021-02-18 14:30,2.0,40.110645,-75.324535,both pets,in unit,no,multi
141,LARGE 2 BEDROOM APARTMENT ON A DESIRED BLOCK IN FISHTOWN!,1800.0,3383.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-bedroom-apartment-on/7271911001.html,2.0, (FISHTOWN),2021-02-18 14:28,1.0,39.9788,-75.1262,both pets,on site,no,multi
142,CONTEMPORARY CONDOMINIUM TOWNHOME IN THE PRIME ART,3000.0,2282.0,https://philadelphia.craigslist.org/apa/d/philadelphia-contemporary-condominium/7265396495.html,3.0, (FAIRMOUNT),2021-02-18 14:28,2.5,39.9677,-75.1735,both pets,in unit,proctected,single
143,LUXURIOUS MODERN APARTMENT IN QUEENS VILLAGE!,2000.0,950.0,https://philadelphia.craigslist.org/apa/d/philadelphia-luxurious-modern-apartment/7265395512.html,2.0, (QUEEN VILLAGE),2021-02-18 14:28,1.0,39.9362,-75.1563,both pets,on site,no,multi
