,No_of_bathrooms,No_of_bedrooms,latitude,longitude,pet,laundry,parking,floor,Apartment_type,smoking,post_prices,sqfts,post_links,bedroom_counts,post_title_texts,post_hoods,post_timing
1544, 2Ba,2BR ,39.960755,-75.15957,cats are OK - purrr,w/d in unit,off-street parking,flooring: wood,apartment,nan,1500,820.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bed-bath-hw-floors-d/7264498846.html,2,"2 bed 2 bath w/hw floors, w/d, dishwasher, central ac/heat", (Loft Dostrict),2021-02-14 17:02
1545, 2.5Ba,2BR ,40.3765,-75.2648,dogs are OK - wooof,w/d in unit,off-street parking,nan,apartment,nan,2295,1660.0,https://philadelphia.craigslist.org/apa/d/blooming-glen-pet-friendly-two-bedroom/7271038543.html,2,Pet Friendly TWO bedroom in Perkasie!," (One Applewood Drive, Perkasie, PA)",2021-02-14 17:00
1546, 1Ba,1BR ,39.97194,-75.162385,cats are OK - purrr,w/d in unit,street parking,flooring: wood,apartment,nan,1350,625.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-renovated-bedroom/7277498858.html,1,Large Renovated 1 Bedroom with Laundry, (Philadelphia),2021-02-14 16:59
1547, 1Ba,2BR ,40.00917,-75.193198,cats are OK - purrr,laundry in bld,street parking,flooring: wood,apartment,no smoking,950,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-apt-with-modern/7276630488.html,2,"2 Bedroom Apt. with modern kitchen great light, off Kelly Drive", (Philadelphia),2021-02-14 16:58
1548, 1.5Ba,2BR ,39.97085,-75.128427,dogs are OK - wooof,w/d in unit,attached garage,nan,apartment,nan,1700,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-prime-location-fishtown/7277497318.html,2,*Prime location Fishtown Apt 2BR w/Garage, (Fishtown),2021-02-14 16:55
1549, 1Ba,1BR ,39.973141,-75.210621,dogs are OK - wooof,laundry in bld,street parking,nan,apartment,nan,1000,575.0,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-bedroom-for-rent/7275079400.html,1,Spacious 1 Bedroom FOR RENT!, (Parkside),2021-02-14 16:52
1550, 1.5Ba,2BR ,39.940047,-75.15245,dogs are OK - wooof,w/d in unit,no parking,nan,townhouse,nan,1500,650.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-trinity-townhouse/7269552169.html,2,2 Bedroom Trinity Townhouse FOR RENT, (Queen Village),2021-02-14 16:52
1551, 1Ba,2BR ,39.962336,-75.142686,dogs are OK - wooof,w/d in unit,street parking,nan,apartment,nan,1600,950.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-apartment-for-rent/7269552379.html,2,Large Apartment For Rent!, (Northern Liberties),2021-02-14 16:52
1552, 1Ba,2BR ,39.977268,-75.125027,dogs are OK - wooof,w/d in unit,street parking,nan,house,nan,1750,1100.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-bedroom-house-for/7269552723.html,2,Large 2 bedroom House FOR RENT, (Fishtown),2021-02-14 16:52
1553, 1Ba,1BR ,39.962418,-75.142794,dogs are OK - wooof,w/d in unit,street parking,nan,apartment,nan,1400,700.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-bi-level-bedroom/7269551948.html,1,Large Bi-Level 1 Bedroom, (Northern Liberties),2021-02-14 16:52
1554, 1.5Ba,2BR ,39.962353,-75.142729,dogs are OK - wooof,w/d in unit,street parking,nan,apartment,nan,1750,995.0,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-bedroom-apartment/7269551674.html,2,Spacious 2 Bedroom Apartment FOR RENT!, (Northern Liberties),2021-02-14 16:52
1555, 1Ba,1BR ,39.976547,-75.210857,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,1495,705.0,https://philadelphia.craigslist.org/apa/d/philadelphia-come-in-from-the-cold-1bd/7269583524.html,1,Come in From The Cold!  1Bd 1Ba at The Packard, (Philadelphia-Center City),2021-02-14 16:47
1556, 1Ba,1BR ,39.959008,-75.161676,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,1495,705.0,https://philadelphia.craigslist.org/apa/d/keep-warm-in-this-awesome-1bd-1ba-bi/7269584609.html,1,Keep Warm in This Awesome 1Bd 1Ba Bi-Level Loft The Packard, (Philadelphia-Center City),2021-02-14 16:47
1557, 2Ba,2BR ,39.976547,-75.210857,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,2095,1065.0,https://philadelphia.craigslist.org/apa/d/philadelphia-watch-the-snow-from-your/7269587561.html,2,Watch The Snow From Your 10 Foot Windows 2Bd 2Ba at The Packard, (Philadelphia-Center City),2021-02-14 16:47
1558, 2Ba,2BR ,39.976547,-75.210857,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,2380,1420.0,https://philadelphia.craigslist.org/apa/d/philadelphia-perfect-to-call-home-2bd/7269589685.html,2,Perfect to Call Home! 2Bd 2.5Ba Bi Level w/Den The Packard, (Philadelphia-Center City),2021-02-14 16:47
1559, 1.5Ba,1BR ,39.976547,-75.210857,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,1995,1175.0,https://philadelphia.craigslist.org/apa/d/philadelphia-be-the-envy-of-your/7269590751.html,1,Be The Envy of Your Friends!  1Bd 1.5Ba Bi Level Loft Den The Packard, (Philadelphia-Center City),2021-02-14 16:47
1560, 1Ba,1BR ,39.958638,-75.162156,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,nan,1550,705.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-bedroom/7275998365.html,1,Beautiful 1 bedroom available now at The Packard Building!," (Center City, Drexel Med, PAFA)",2021-02-14 16:47
1561, 2Ba,2BR ,39.958638,-75.162156,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,nan,2380,1420.0,https://philadelphia.craigslist.org/apa/d/philadelphia-watch-the-snow-from-your/7275999646.html,2,Watch The Snow From Your 10 Foot Windows 2Bd 2Ba at The Packard," (Center City, Drexel Med, PAFA)",2021-02-14 16:47
